,prof_after_women_postproc,cat,cat_named,freq,cluster_kmeans_NKRL,cluster_agglomerative_NKRL,cluster_kmeans_Taiga,cluster_agglomerative_Taiga,cluster_kmeans_Wiki,cluster_agglomerative_Wiki
73,прораб,4,Строительство,1461,1.0,5.0,7.0,1.0,4.0,1.0
74,уборщик,7,Жилищное и коммунальное хозяйство,1460,3.0,5.0,2.0,1.0,12.0,1.0
75,старатель,1,Промышленность,1452,3.0,2.0,11.0,1.0,7.0,1.0
76,кондуктор,5,Транспорт и связь,1414,1.0,5.0,2.0,0.0,2.0,1.0
77,капитан,0,Армия,1372,0.0,0.0,3.0,0.0,6.0,1.0
78,учащийся,8,"Просвещение, наука, искусство, печать",1357,10.0,6.0,8.0,5.0,9.0,2.0
79,весовщик,6,"Торговля, заготовки и общественное питание",1326,3.0,5.0,10.0,1.0,3.0,1.0
80,учетчик,10,"Государственные учреждения, партийные и общественные организации",1306,3.0,5.0,7.0,1.0,3.0,1.0
81,диспетчер,5,Транспорт и связь,1301,1.0,5.0,2.0,1.0,2.0,10.0
82,забойщик,1,Промышленность,1287,3.0,5.0,7.0,1.0,4.0,1.0
83,моторист,1,Промышленность,1275,1.0,5.0,1.0,1.0,2.0,1.0
84,делопроизводитель,10,"Государственные учреждения, партийные и общественные организации",1220,3.0,3.0,9.0,1.0,0.0,1.0
85,пекарь,6,"Торговля, заготовки и общественное питание",1193,5.0,5.0,6.0,1.0,7.0,1.0
86,исполнитель,11,Нераспределенные по отраслям народного хозяйства и неточно указавшие отрасль,1193,11.0,4.0,4.0,6.0,11.0,3.0
87,приемщик,1,Промышленность,1189,3.0,5.0,2.0,12.0,3.0,1.0
88,крестьянин-единоличник,2,Сельское хозяйство,1180,,,,,,
89,пастух,2,Сельское хозяйство,1163,3.0,2.0,11.0,1.0,7.0,1.0
90,заготовитель,6,"Торговля, заготовки и общественное питание",1155,3.0,12.0,11.0,12.0,3.0,4.0
91,шорник,1,Промышленность,1130,3.0,5.0,6.0,1.0,7.0,1.0
92,санитар,9,Здравоохранение,1125,6.0,9.0,2.0,5.0,12.0,1.0
93,обходчик,1,Промышленность,1113,3.0,5.0,1.0,1.0,2.0,1.0
94,торговец,6,"Торговля, заготовки и общественное питание",1100,2.0,12.0,11.0,12.0,7.0,4.0
95,мельник,2,Сельское хозяйство,1082,3.0,5.0,10.0,1.0,7.0,1.0
96,каменщик,1,Промышленность,1080,5.0,5.0,6.0,1.0,7.0,1.0
97,лесник,3,Лесное хозяйство,1079,3.0,2.0,10.0,1.0,7.0,1.0
98,юрисконсульт,10,"Государственные учреждения, партийные и общественные организации",1052,3.0,3.0,9.0,5.0,0.0,1.0
99,владелец,11,Нераспределенные по отраслям народного хозяйства и неточно указавшие отрасль,1049,3.0,12.0,11.0,12.0,3.0,4.0
100,молотобоец,1,Промышленность,1048,3.0,5.0,6.0,1.0,7.0,1.0
101,пожарник,7,Жилищное и коммунальное хозяйство,1704,3.0,5.0,2.0,0.0,12.0,1.0
102,боец,0,Армия,948,7.0,0.0,3.0,0.0,12.0,1.0
103,парикмахер,7,Жилищное и коммунальное хозяйство,934,3.0,5.0,6.0,1.0,7.0,1.0
104,пчеловод,2,Сельское хозяйство,932,3.0,2.0,11.0,1.0,11.0,2.0
105,нормировщик,1,Промышленность,925,3.0,5.0,7.0,1.0,4.0,1.0
106,плановик,10,"Государственные учреждения, партийные и общественные организации",923,3.0,6.0,7.0,1.0,3.0,2.0
107,товаровед,6,"Торговля, заготовки и общественное питание",897,3.0,5.0,7.0,1.0,3.0,1.0
108,комендант,7,Жилищное и коммунальное хозяйство,874,0.0,0.0,3.0,0.0,12.0,1.0
109,монтер,1,Промышленность,870,1.0,5.0,7.0,1.0,2.0,1.0
110,лейтенант,0,Армия,861,0.0,0.0,3.0,0.0,6.0,1.0
111,дворник,7,Жилищное и коммунальное хозяйство,856,3.0,5.0,1.0,1.0,12.0,1.0
112,медсестра,9,Здравоохранение,831,6.0,9.0,2.0,5.0,12.0,1.0
113,рыбак,1,Промышленность,821,2.0,2.0,11.0,1.0,7.0,1.0
114,пильщик,1,Промышленность,815,3.0,5.0,6.0,1.0,7.0,1.0
115,казак,0,Армия,804,0.0,0.0,0.0,0.0,12.0,1.0
116,штукатур,4,Строительство,799,5.0,5.0,7.0,1.0,4.0,1.0
117,учительник,8,"Просвещение, наука, искусство, печать",796,,,,,,
118,хлебороб,2,Сельское хозяйство,793,3.0,2.0,0.0,1.0,8.0,1.0
119,зоотехник,2,Сельское хозяйство,787,3.0,2.0,5.0,1.0,10.0,1.0
120,старшина,0,Армия,771,0.0,5.0,3.0,0.0,6.0,1.0
121,электрик,1,Промышленность,762,1.0,5.0,7.0,1.0,1.0,1.0
122,землекоп,2,Сельское хозяйство,761,5.0,5.0,6.0,1.0,7.0,1.0
123,нквд,0,Армия,757,3.0,3.0,3.0,7.0,12.0,1.0
124,техник-строитель,4,Строительство,741,,,,,,
125,огородник,2,Сельское хозяйство,740,5.0,2.0,11.0,1.0,7.0,4.0
126,спецпереселенец,11,Нераспределенные по отраслям народного хозяйства и неточно указавшие отрасль,1293,3.0,0.0,0.0,2.0,8.0,1.0
127,педагог,8,"Просвещение, наука, искусство, печать",719,10.0,6.0,8.0,5.0,11.0,2.0
128,коновозчик,5,Транспорт и связь,718,,,,,,
129,бондарь,1,Промышленность,716,3.0,5.0,6.0,1.0,7.0,1.0
130,ученик,8,"Просвещение, наука, искусство, печать",716,10.0,6.0,8.0,5.0,9.0,2.0
131,лаборант,8,"Просвещение, наука, искусство, печать",705,6.0,6.0,5.0,5.0,1.0,2.0
132,технорук,1,Промышленность,702,3.0,3.0,,,3.0,1.0
133,монах,12,Служители культа,688,12.0,1.0,12.0,3.0,5.0,8.0
134,ветфельдшер,9,Здравоохранение,687,3.0,2.0,,,,
135,портн,7,Жилищное и коммунальное хозяйство,685,,,,,,
136,вахтер,7,Жилищное и коммунальное хозяйство,676,3.0,5.0,2.0,0.0,12.0,1.0
137,проводник,5,Транспорт и связь,674,3.0,1.0,2.0,0.0,12.0,0.0
138,табельщик,1,Промышленность,667,3.0,5.0,,,,
139,стрелок,0,Армия,661,7.0,2.0,3.0,0.0,12.0,1.0
140,редактор,8,"Просвещение, наука, искусство, печать",661,11.0,3.0,4.0,4.0,0.0,7.0
141,художник,8,"Просвещение, наука, искусство, печать",653,4.0,6.0,4.0,4.0,11.0,2.0
142,телеграфист,5,Транспорт и связь,650,3.0,5.0,3.0,1.0,2.0,1.0
143,конструктор,1,Промышленность,634,9.0,6.0,5.0,1.0,1.0,1.0
144,сборщик,1,Промышленность,633,3.0,5.0,11.0,12.0,3.0,4.0
145,единоличник,2,Сельское хозяйство,631,3.0,2.0,0.0,1.0,8.0,4.0
146,извозчик,5,Транспорт и связь,622,3.0,5.0,10.0,1.0,12.0,1.0
147,осмотрщик,1,Промышленность,622,3.0,11.0,,,,
148,котельщик,1,Промышленность,611,3.0,5.0,7.0,1.0,4.0,1.0
149,староста,0,Армия,602,3.0,5.0,10.0,0.0,12.0,1.0
150,дьякон,12,Служители культа,592,12.0,1.0,12.0,3.0,5.0,8.0
151,электросварщик,1,Промышленность,587,3.0,5.0,7.0,1.0,4.0,1.0
152,электромеханик,1,Промышленность,565,3.0,5.0,7.0,1.0,1.0,1.0
153,матрос,0,Армия,557,2.0,5.0,3.0,1.0,12.0,1.0
154,конторщик,1,Промышленность,555,3.0,5.0,7.0,1.0,3.0,1.0
155,пенсионер,11,Нераспределенные по отраслям народного хозяйства и неточно указавшие отрасль,551,11.0,12.0,0.0,2.0,9.0,5.0
156,военный,0,Армия,549,7.0,0.0,3.0,0.0,12.0,1.0
157,фотограф,8,"Просвещение, наука, искусство, печать",547,3.0,4.0,4.0,4.0,11.0,2.0
158,партизан,0,Армия,534,7.0,0.0,0.0,0.0,12.0,1.0
159,служитель,12,Служители культа,532,3.0,5.0,12.0,3.0,12.0,1.0
160,ревизор,10,"Государственные учреждения, партийные и общественные организации",515,3.0,3.0,2.0,0.0,0.0,1.0
161,истопник,1,Промышленность,513,3.0,5.0,1.0,1.0,7.0,1.0
162,псаломщик,12,Служители культа,505,12.0,1.0,12.0,3.0,5.0,8.0
163,жестянщик,1,Промышленность,499,3.0,5.0,6.0,1.0,7.0,1.0
164,милиционер,0,Армия,497,7.0,5.0,2.0,0.0,12.0,1.0
165,ветврач,9,Здравоохранение,497,3.0,2.0,5.0,5.0,10.0,1.0
166,писарь,8,"Просвещение, наука, искусство, печать",489,0.0,5.0,3.0,0.0,12.0,1.0
167,кучер,5,Транспорт и связь,488,3.0,5.0,10.0,1.0,7.0,1.0
168,участник,11,Нераспределенные по отраслям народного хозяйства и неточно указавшие отрасль,483,11.0,4.0,8.0,6.0,9.0,3.0
169,объездчик,5,Транспорт и связь,481,3.0,2.0,10.0,1.0,7.0,1.0
170,животновод,2,Сельское хозяйство,478,3.0,2.0,11.0,1.0,10.0,1.0
171,офицер,0,Армия,475,0.0,0.0,3.0,0.0,6.0,1.0
172,комиссар,0,Армия,473,0.0,0.0,3.0,5.0,6.0,1.0
173,сортировщик,1,Промышленность,468,3.0,5.0,,,3.0,1.0
174,кустарь,2,Сельское хозяйство,467,5.0,12.0,0.0,1.0,8.0,4.0
175,профессор,8,"Просвещение, наука, искусство, печать",465,6.0,6.0,5.0,5.0,11.0,2.0
