,prof_after_women_postproc,cat,cat_named,freq,cluster_kmeans_NKRL,cluster_agglomerative_NKRL,cluster_kmeans_Taiga,cluster_agglomerative_Taiga,cluster_kmeans_Wiki,cluster_agglomerative_Wiki
245,упаковщик,1,Промышленность,262,3.0,5.0,7.0,1.0,3.0,1.0
246,скотовод,2,Сельское хозяйство,261,3.0,2.0,11.0,1.0,8.0,4.0
247,завуч,8,"Просвещение, наука, искусство, печать",260,3.0,6.0,8.0,5.0,9.0,1.0
248,заготовщик,6,"Торговля, заготовки и общественное питание",259,,,,,,
249,кровельщик,4,Строительство,259,3.0,5.0,6.0,1.0,7.0,1.0
250,модельщик,8,"Просвещение, наука, искусство, печать",257,3.0,5.0,,,4.0,1.0
251,учащаяий,8,"Просвещение, наука, искусство, печать",256,,,,,,
252,строитель,4,Строительство,251,9.0,6.0,7.0,1.0,11.0,2.0
253,откатчик,1,Промышленность,251,,,,,,
254,сплавщик,1,Промышленность,251,2.0,2.0,11.0,1.0,7.0,1.0
255,геолог,8,"Просвещение, наука, искусство, печать",250,9.0,6.0,5.0,1.0,11.0,2.0
256,счетовод-кассир,6,"Торговля, заготовки и общественное питание",248,,,,,,
257,полицейский,0,Армия,248,7.0,5.0,2.0,0.0,12.0,1.0
258,слесарь-механик,1,Промышленность,247,,,,,,
259,киномеханик,8,"Просвещение, наука, искусство, печать",247,3.0,4.0,7.0,1.0,3.0,1.0
260,инструментальщик,1,Промышленность,246,3.0,5.0,7.0,1.0,4.0,1.0
261,лесничий,3,Лесное хозяйство,246,3.0,2.0,10.0,1.0,7.0,1.0
262,нарядчик,1,Промышленность,245,3.0,5.0,2.0,0.0,12.0,1.0
263,часовой,0,Армия,243,7.0,0.0,3.0,0.0,12.0,1.0
264,журналист,8,"Просвещение, наука, искусство, печать",242,4.0,3.0,4.0,4.0,11.0,2.0
265,станочник,1,Промышленность,241,3.0,5.0,7.0,1.0,4.0,1.0
266,подручный,1,Промышленность,241,3.0,5.0,2.0,0.0,12.0,1.0
267,секретарь-машинист,10,"Государственные учреждения, партийные и общественные организации",240,,,,,,
268,ефрейтор,0,Армия,239,7.0,0.0,3.0,0.0,6.0,1.0
269,радиотехник,8,"Просвещение, наука, искусство, печать",239,3.0,6.0,5.0,1.0,1.0,2.0
270,прессовщик,1,Промышленность,238,,,7.0,1.0,,
271,ездовой,5,Транспорт и связь,238,,,,,,
272,сварщик,1,Промышленность,234,1.0,5.0,7.0,1.0,4.0,1.0
273,крестьян,2,Сельское хозяйство,420,,,,,,
274,приказчик,6,"Торговля, заготовки и общественное питание",227,2.0,5.0,10.0,1.0,7.0,1.0
275,ткач,1,Промышленность,227,5.0,12.0,6.0,1.0,7.0,1.0
276,ассистент,11,Нераспределенные по отраслям народного хозяйства и неточно указавшие отрасль,227,6.0,6.0,4.0,5.0,0.0,2.0
277,пимокат,1,Промышленность,227,,,,,,
278,стекольщик,1,Промышленность,226,3.0,5.0,6.0,1.0,7.0,1.0
279,литейщик,1,Промышленность,226,5.0,5.0,6.0,1.0,4.0,1.0
280,священнослужитель,12,Служители культа,225,12.0,1.0,12.0,3.0,5.0,8.0
281,инженер-электрик,1,Промышленность,224,,,,,,
282,интендант,0,Армия,222,3.0,0.0,3.0,0.0,0.0,1.0
283,смотритель,7,Жилищное и коммунальное хозяйство,222,3.0,5.0,2.0,1.0,12.0,1.0
284,солдат,0,Армия,221,7.0,0.0,3.0,0.0,12.0,1.0
285,раздатчик,5,Транспорт и связь,218,3.0,7.0,2.0,0.0,3.0,0.0
286,шкипер,0,Армия,217,2.0,5.0,11.0,1.0,7.0,1.0
287,дояр,2,Сельское хозяйство,216,,,7.0,1.0,,
288,парторг,10,"Государственные учреждения, партийные и общественные организации",215,1.0,5.0,9.0,1.0,6.0,1.0
289,шлифовщик,1,Промышленность,214,,,7.0,1.0,,
